name,salary,year
Zack Greinke,34000000,2018
Patrick Corbin,7500000,2018
Taijuan Walker,4825000,2018
Robbie Ray,3950000,2018
Clay Buchholz,1500000,2018
Zack Godley,579200,2018
Yoan Lopez,545000,2018
Brandon McCarthy,11500000,2018
Julio Teheran,8166666,2018
Kevin Gausman,5600000,2018
Mike Foltynewicz,2200000,2018
Anibal Sanchez,1000000,2018
Luiz Gohara,555000,2018
Sean Newcomb,555000,2018
Kolby Allard,545000,2018
Michael Soroka,545000,2018
Touki Toussaint,545000,2018
Bryse Wilson,545000,2018
Kyle Wright,545000,2018
Alex Cobb,14000000,2018
Andrew Cashner,9500000,2018
Dylan Bundy,1640000,2018
Miguel Castro,553000,2018
Gabriel Ynoa,549000,2018
Luis Ortiz,545000,2018
Josh Rogers,545000,2018
Jimmy Yacabonis,545000,2018
David Price,30000000,2018
Rick Porcello,21125000,2018
Chris Sale,12515000,2018
Drew Pomeranz,8500000,2018
Eduardo Rodriguez,2375000,2018
Nathan Eovaldi,2000000,2018
Steven Wright,1100000,2018
Brian Johnson,548000,2018
James Shields,21000000,2018
Miguel Gonzalez,4750000,2018
Carlos Rodon,2300000,2018
Lucas Giolito,555000,2018
Reynaldo Lopez,555000,2018
Dylan Covey,545000,2018
Michael Kopech,545000,2018
Thyago Vieira,545000,2018
Jon Lester,27500000,2018
Yu Darvish,25000000,2018
Cole Hamels,22500000,2018
Tyler Chatwood,12500000,2018
Jose Quintana,8850000,2018
Kyle Hendricks,4175000,2018
Drew Smyly,3000000,2018
Mike Montgomery,611250,2018
Allen Webster,545000,2018
Homer Bailey,21000000,2018
Matt Harvey,5625000,2018
Anthony DeSclafani,860000,2018
Luis Castillo,555000,2018
Robert Stephenson,555000,2018
Tyler Mahle,545000,2018
Sal Romano,545000,2018
Lucas Sims,545000,2018
Corey Kluber,10700000,2018
Carlos Carrasco,8000000,2018
Trevor Bauer,6525000,2018
Danny Salazar,5000000,2018
Josh Tomlin,3000000,2018
Mike Clevinger,558500,2018
Shane Bieber,545000,2018
Chad Bettis,2000000,2018
Tyler Anderson,555000,2018
Jon Gray,555000,2018
Kyle Freeland,550000,2018
German Marquez,550000,2018
Antonio Senzatela,545000,2018
Jordan Zimmermann,24000000,2018
Francisco Liriano,4000000,2018
Michael Fulmer,575200,2018
Matt Boyd,562000,2018
Daniel Norris,561400,2018
Spencer Turnbull,545000,2018
Sandy Baez,545000,2018
Justin Verlander,28100000,2018
Dallas Keuchel,13200000,2018
Charlie Morton,8875000,2018
Gerrit Cole,6750000,2018
Lance McCullers,2450000,2018
Josh James,545000,2018
Framber Valdez,545000,2018
Ian Kennedy,16000000,2018
Danny Duffy,14000000,2018
Nate Karns,1375000,2018
Jesse Hahn,574000,2018
Jake Junis,554250,2018
Burch Smith,552400,2018
Brad Keller,545000,2018
Jorge Lopez,545000,2018
Eric Skoglund,545000,2018
Garrett Richards,7300000,2018
Matt Shoemaker,4125000,2018
Shohei Ohtani,2315000,2018
J.C. Ramirez,1900000,2018
Tyler Skaggs,1875000,2018
Odrisamer Despaigne,1090000,2018
Andrew Heaney,800000,2018
Alex Meyer,551500,2018
Jaime Barria,545000,2018
Parker Bridwell,545000,2018
Ty Buttrey,545000,2018
John Lamb,545000,2018
Deck McGuire,545000,2018
Felix Pena,545000,2018
Nicholas Tropeano,545000,2018
Clayton Kershaw,35571428,2018
Rich Hill,16666666,2018
Hyun-Jin Ryu,7833333,2018
Kenta Maeda,6125000,2018
Alex Wood,6000000,2018
Ross Stripling,555000,2018
Wei-Yin Chen,10000000,2018
Dan Straily,3375000,2018
Caleb Smith,1090000,2018
Jose Urena,575000,2018
Sandy Alcantara,545000,2018
Jeff Brigham,545000,2018
Pablo Lopez,545000,2018
Trevor Richards,545000,2018
Jhoulys Chacin,8750000,2018
Chase Anderson,4750000,2018
Jimmy Nelson,3700000,2018
Wade Miley,2500000,2018
Jordan Lyles,750000,2018
Zach Davies,572000,2018
Brent Suter,556500,2018
Junior Guerra,545000,2018
Freddy Peralta,545000,2018
Ervin Santana,13500000,2018
Jake Odorizzi,6300000,2018
Kyle Gibson,4200000,2018
Michael Pineda,2000000,2018
Jose Berrios,570000,2018
Chase De Jong,545000,2018
Stephen Gonsalves,545000,2018
Adalberto Mejia,545000,2018
Aaron Slegers,545000,2018
Kohl Stewart,545000,2018
Masahiro Tanaka,22000000,2018
J.A. Happ,13000000,2018
Lance Lynn,12000000,2018
C.C. Sabathia,10500000,2018
Sonny Gray,6500000,2018
Luis Severino,604975,2018
Jordan Montgomery,580450,2018
Domingo German,548225,2018
Chance Adams,545000,2018
Jacob deGrom,7400000,2018
Jason Vargas,6000000,2018
Noah Syndergaard,2975000,2018
Zack Wheeler,1900000,2018
Steven Matz,577000,2018
Drew Gagnon,545000,2018
Corey Oswalt,545000,2018
Drew Smith,545000,2018
Michael Fiers,6000000,2018
Brett Anderson,4000000,2018
Kendall Graveman,2360000,2018
Trevor Cahill,1500000,2018
Edwin Jackson,1500000,2018
Jharel Cotton,550000,2018
Sean Manaea,550000,2018
Andrew Triggs,550000,2018
Paul Blackburn,547500,2018
Daniel Gossett,547500,2018
Daniel Mengden,547500,2018
Chris Bassitt,545000,2018
Frankie Montas,545000,2018
Jake Arrieta,30000000,2018
Aaron Nola,573000,2018
Jerad Eickhoff,568000,2018
Vincent Velasquez,559000,2018
Nick Pivetta,551000,2018
Drew Anderson,545000,2018
Enyel De Los Santos,545000,2018
Zach Eflin,545000,2018
Ivan Nova,9416666,2018
Chris Archer,6416666,2018
Joe Musgrove,571000,2018
Jameson Taillon,571000,2018
Chad Kuhl,570500,2018
Trevor Williams,569500,2018
Clay Holmes,545000,2018
Nick Kingham,545000,2018
Clayton Richard,3500000,2018
Luis Perdomo,566800,2018
Dinelson Lamet,555700,2018
Bryan Mitchell,552800,2018
Brett Kennedy,545000,2018
Eric Lauer,545000,2018
Joey Lucchesi,545000,2018
Jacob Nix,545000,2018
Trey Wingenter,545000,2018
Johnny Cueto,21000000,2018
Jeff Samardzija,19800000,2018
Madison Bumgarner,12000000,2018
Chris Stratton,552500,2018
Casey Kelly,545000,2018
Dereck Rodriguez,545000,2018
Andrew Suarez,545000,2018
Felix Hernandez,26857142,2018
Mike Leake,17000000,2018
James Paxton,4900000,2018
Erasmo Ramirez,4200000,2018
Wade LeBlanc,700000,2018
Marco Gonzales,550300,2018
Nick Rumbelow,545000,2018
Adam Wainwright,19500000,2018
Carlos Martinez,11700000,2018
Miles Mikolas,7750000,2018
Michael Wacha,5300000,2018
Tyson Ross,2700000,2018
Luke Weaver,550800,2018
Jack Flaherty,545000,2018
Austin Gomber,545000,2018
Blake Snell,558200,2018
Jacob Faria,555000,2018
Jalen Beeks,545000,2018
Brent Honeywell,545000,2018
Mike Minor,8333333,2018
Martin Perez,6000000,2018
Doug Fister,3500000,2018
Bartolo Colon,2450000,2018
Yovani Gallardo,2300000,2018
Austin Bibens-Dirkx,545000,2018
Ariel Jurado,545000,2018
Connor Sadzeck,545000,2018
Marco Estrada,13000000,2018
Marcus Stroman,6500000,2018
Aaron Sanchez,2700000,2018
Ryan Borucki,545000,2018
Sam Gaviglio,545000,2018
Taylor Guerrieri,545000,2018
Sean Reid-Foley,545000,2018
